ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	42	0.670398846799096	1.74134930556159	0.00119609037662779	0.0075196829415862	0.00498456990432462	382	tags=36%, list=12%, signal=32%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-5576891	Cardiac conduction	21	-0.801602352411425	-1.6198981098672	0.00118414258044334	0.0075196829415862	0.00498456990432462	226	tags=38%, list=7%, signal=36%	ATP1A1/ATP2A2/ATP2A3/CASQ2/TNNI3/ATP1B1/ATP2A1/CASQ1
R-HSA-1169410	Antiviral mechanism by IFN-stimulated genes	62	0.598732037538481	1.70795421152979	0.00125305960132526	0.00776631106994244	0.00514805221544253	370	tags=18%, list=11%, signal=16%	ISG15/SUMO1/RAE1/TPR/EIF2AK2/HSPA8/FLNB/EIF2S3/ADAR/IKBKG/FLNA
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	87	0.556495314148941	1.65696737285616	0.00125557049892159	0.00776631106994244	0.00514805221544253	815	tags=38%, list=25%, signal=29%	RPS11/RRP9/RPL12/RPL10/EMG1/RPS8/WDR12/RPL8/RPS23/RPL18/RPS15A/RPL4/RPL6/RPL7/RPL38/RPL7A/EXOSC7/RPL35A/PELP1/EXOSC2/RPL15/RPS4X/RPL5/RPS6/RPL24/NCL/RPL30/RPL14/RPL3/RPS7/RPS5/RPS28/RPL11
R-HSA-5358346	Hedgehog ligand biogenesis	45	0.668363095666394	1.76120667249049	0.00131551353804739	0.00802040400991445	0.005316482723926	382	tags=33%, list=12%, signal=30%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	61	0.608724495377165	1.73481745259451	0.00131756310984253	0.00802040400991445	0.005316482723926	382	tags=28%, list=12%, signal=25%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/NRAS/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/IKBKG/PSMA3/PSMA5
R-HSA-1234174	Cellular response to hypoxia	45	0.662017010962067	1.74448407545017	0.00153346608089913	0.00822021382851557	0.0054489305965457	382	tags=33%, list=12%, signal=30%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	45	0.662017010962067	1.74448407545017	0.00153346608089913	0.00822021382851557	0.0054489305965457	382	tags=33%, list=12%, signal=30%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-4641257	Degradation of AXIN	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
