ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0030239	myofibril assembly	39	-0.839705181200587	-1.89125804641824	4.24047088036511e-07	1.74776164663697e-05	1.45189379929428e-05	421	tags=64%, list=13%, signal=57%	7140/58/10398/4703/8048/2318/7168/10324/1073/3880/7111/7138/3856/7273/127294/4604/4606/88/9172/8557/8736/11155/4625/844/4633
GO:0010927	cellular component assembly involved in morphogenesis	51	-0.803812681666508	-1.88144387336306	4.67023847973444e-07	1.874240442525e-05	1.5569617757231e-05	317	tags=51%, list=10%, signal=47%	7140/58/10398/4703/287/8048/2318/7168/10324/1073/3880/7111/7138/3856/7273/127294/4604/4606/88/9172/8557/8736/11155/4625/844/4633
GO:0032989	cellular anatomical entity morphogenesis	51	-0.803812681666508	-1.88144387336306	4.67023847973444e-07	1.874240442525e-05	1.5569617757231e-05	317	tags=51%, list=10%, signal=47%	7140/58/10398/4703/287/8048/2318/7168/10324/1073/3880/7111/7138/3856/7273/127294/4604/4606/88/9172/8557/8736/11155/4625/844/4633
GO:0060047	heart contraction	62	-0.76353168458533	-1.83579147622732	8.54575601202897e-07	3.38500725151797e-05	2.81198013956989e-05	318	tags=45%, list=10%, signal=42%	476/30845/287/8048/1756/1674/7168/274/488/3270/2946/7136/489/7273/845/183/781/7137/857/23171/7135/8557/6271/481/487/4625/4634/4633
GO:0006631	fatty acid metabolic process	104	-0.695202032941712	-1.79074098844146	1.08268168303029e-06	4.23356299133639e-05	3.51688908374346e-05	566	tags=44%, list=17%, signal=38%	51084/1632/9370/2687/128/1892/38/35/11343/5096/2194/4594/51144/231/84532/4706/3030/55268/145482/84693/11160/224/2110/1646/2180/1376/84869/3032/2052/2109/4259/2170/2946/345/2108/10449/7923/337/10455/857/80142/7148/1384/37/34/948
GO:0009057	macromolecule catabolic process	419	0.420230024884642	1.47319371712262	1.16269782106866e-06	4.48889665096128e-05	3.72899887450002e-05	421	tags=18%, list=13%, signal=18%	5255/9636/4478/51690/840/26986/11337/7341/6036/6039/11157/5699/1956/4904/51808/6037/25804/4313/5698/1520/5696/2799/351/6625/10254/7430/1736/3312/328/4076/57819/1512/29978/5683/7077/5690/5962/1509/5499/5691/5685/4738/1116/1514/29979/5692/1777/7812/64802/1486/8635/8570/3309/57333/27257/5682/387921/9652/5688/1118/836/8882/5689/5687/5716/7040/23318/8517/2316/5684/5686/5317/6093/8993/11187/823/2990
GO:0006941	striated muscle contraction	55	-0.795452752031354	-1.86944857168523	1.23194722497269e-06	4.69679879520838e-05	3.90170654014377e-05	318	tags=55%, list=10%, signal=50%	476/30845/287/8048/1756/7168/274/488/3270/2946/10324/5224/23336/7138/7136/7273/845/781/7125/7137/857/23171/7135/8557/481/487/4625/844/4634/4633
GO:0051146	striated muscle cell differentiation	91	-0.706733854707468	-1.80536603948321	2.11703905342481e-06	7.97156680610575e-05	6.62210916386421e-05	438	tags=37%, list=13%, signal=33%	10611/7140/58/6444/10398/975/7373/4703/8048/131377/2318/7168/10324/1073/3880/7111/150572/7138/3856/7273/127294/4604/4606/88/8470/9172/8557/493829/8736/34/11155/4625/844/4633
GO:0003015	heart process	64	-0.762742006929802	-1.83950829335317	2.57521428707263e-06	9.57854094581894e-05	7.95704850960697e-05	318	tags=44%, list=10%, signal=40%	476/30845/287/8048/1756/1674/7168/274/488/3270/2946/7136/489/7273/845/183/781/7137/857/23171/7135/8557/6271/481/487/4625/4634/4633
GO:0008544	epidermis development	101	0.626471875141171	1.92607382310465	2.91791262345199e-06	0.000107224500018417	8.90731221895871e-05	448	tags=27%, list=14%, signal=24%	3909/3914/1956/4904/3918/6278/2317/2171/4926/6692/1382/6431/4831/1001/3853/836/3516/3868/3872/23581/2260/5317/6093/144501/3861/11187/3713
GO:0045214	sarcomere organization	27	-0.87813410815954	-1.88420887301345	3.12297585776846e-06	0.000113393766264212	9.41980311986049e-05	297	tags=67%, list=9%, signal=61%	8048/2318/7168/1073/3880/7138/3856/7273/127294/4604/4606/88/9172/8557/8736/11155/4625/844
GO:0006259	DNA metabolic process	193	0.51493706883396	1.72071846284848	3.26051902449407e-06	0.000116995094408317	9.71897125938975e-05	721	tags=30%, list=22%, signal=25%	10923/4172/5928/7341/86/1956/6282/3149/3178/1736/328/4830/92675/80124/7037/84717/6605/4841/5499/8655/1777/64802/4678/5130/7913/79077/25842/6421/7158/7518/8882/7040/25996/10111/2260/5531/5763/8243/958/6749/5788/1854/6742/83940/27339/1499/23075/4832/1653/56943/26073/7336/5887/151987/56941/5536/54433/2521
GO:0014706	striated muscle tissue development	95	-0.6986067499126	-1.79459386029682	6.92835879718369e-06	0.000245715050365236	0.000204119456852156	438	tags=32%, list=13%, signal=28%	10611/58/6444/84148/7373/4703/8048/131377/1756/7168/140465/10324/4729/1073/150572/7273/88/7137/8470/857/9172/7135/8557/8736/34/4625/844/4634/4633/29895
GO:1903311	regulation of mRNA metabolic process	92	0.616598241928358	1.85551628895342	7.01546321886422e-06	0.000245944400201562	0.00020430998146166	601	tags=36%, list=18%, signal=30%	6434/27316/26986/4904/22827/6427/6625/55082/3178/3312/328/4076/6431/494115/7812/8570/27257/23318/5935/5317/6093/11187/51574/10250/6429/5725/26528/9444/27339/6294/11338/79577/8761
GO:0007517	muscle organ development	95	-0.697776500059248	-1.79246109921267	7.53081734235726e-06	0.000261011282888519	0.000216826284007822	317	tags=35%, list=10%, signal=32%	58/6444/84148/347273/4703/8048/131377/6876/1756/1674/7168/140465/10324/445/1073/2275/150572/7273/7137/857/9172/7135/8557/493829/8736/3679/4625/2273/844/1410/4634/4633/29895
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	26	-0.868125606577702	-1.84890508365252	1.08655988459701e-05	0.000372360409889986	0.000309325800381431	310	tags=81%, list=10%, signal=74%	4725/4706/4704/4705/4723/4726/4716/4729/4697/4713/4702/4695/4719/4715/374291/4707/4698/4710/57017/4720/4722
GO:0006403	RNA localization	74	0.662731707368772	1.95211686380862	1.20789875774884e-05	0.000409343467903775	0.000340048223380288	289	tags=20%, list=9%, signal=19%	8480/6426/4904/51808/23299/7175/11052/3178/1736/4076/8106/10189/9984/8570/6780
GO:0033108	mitochondrial respiratory chain complex assembly	35	-0.825166832085826	-1.84719000203296	1.23647800785888e-05	0.000414423947688964	0.000344268659909348	410	tags=57%, list=13%, signal=51%	4725/126328/4706/7386/4704/4705/4716/51079/4713/4702/54539/4695/4719/4715/374291/4707/4698/4710/4720/4722
GO:0006629	lipid metabolic process	299	-0.547623563425062	-1.54533858799956	1.44935689724704e-05	0.000480493319196029	0.000399153552823069	566	tags=29%, list=17%, signal=27%	51084/1632/9370/2687/128/1892/38/3613/35/27440/11343/57552/2224/2235/5096/5091/5051/4258/403313/54344/2194/5444/348/1727/4594/51144/231/335/84532/27429/4706/84681/12/3030/55268/476/145482/3158/64419/84693/11160/51097/224/2147/2110/1646/866/216/57153/11331/2180/347/1376/84869/3032/350/2052/2109/22908/4259/2170/2946/622/594/51706/345/2517/55856/2108/1191/336/10449/7923/337/498/10455/857/80142/7148/1384/9588/37/125/1917/34/506/948/2819
GO:0006402	mRNA catabolic process	73	0.66898865964793	1.96716991644905	1.47260554574525e-05	0.000481183809865117	0.00039972715456267	414	tags=22%, list=13%, signal=20%	51690/26986/11157/4904/25804/328/4076/57819/7812/8570/27257/9652/23318/5317/6093/11187
