Gen	UniProt ID	log2FC	FDR	Dirección
THYN1	Q9P016	1.495	0.0326	Up
HSPH1	Q92598	1.491	0.0145	Up
GOLGA1	Q92805	1.489	0.0295	Up
PNP	P00491	1.485	0.00362	Up
CPOX	P36551	1.481	0.0142	Up
GNPNAT1	Q96EK6	1.472	0.0426	Up
VCAN	P13611	1.467	0.00473	Up
PPP1CA	P62136	1.459	0.0289	Up
EMILIN1	Q9Y6C2	1.457	0.0333	Up
RBMXL1	Q96E39	1.454	0.0328	Up
RCN3	Q96D15	1.454	0.0476	Up
XPNPEP3	Q9NQH7	1.454	0.031	Up
DNAJC8	O75937	1.45	0.0142	Up
HSPA4L	O95757	1.449	0.0224	Up
CTBS	Q01459	1.445	0.0398	Up
FUBP1	Q96AE4	1.445	0.0152	Up
ARG1	P05089	1.437	0.0406	Up
PTPRF	P10586	1.437	0.0406	Up
ATIC	P31939	1.434	0.0165	Up
UBQLN1	Q9UMX0	1.43	0.0333	Up
SF3B2	Q13435	1.427	0.016	Up
NME2	P22392	1.424	0.0204	Up
NACA	E9PAV3	1.423	0.0326	Up
ALYREF	Q86V81	1.412	0.0222	Up
LAP3	P28838	1.411	0.0325	Up
PPIH	O43447	1.411	0.0177	Up
NPC2	P61916	1.405	0.0142	Up
RPL12	P30050	1.404	0.0406	Up
SH3PXD2B	A1X283	1.404	0.0109	Up
MYDGF	Q969H8	1.403	0.0101	Up
HSPA8	P11142	1.4	0.00509	Up
RDX	P35241	1.394	0.0226	Up
TP53I3	Q53FA7	1.39	0.00715	Up
TIMP2	P16035	1.389	0.0189	Up
SNRNP200	O75643	1.387	0.0325	Up
OSGEP	Q9NPF4	1.379	0.0276	Up
DEK	P35659	1.378	0.0371	Up
CNPY3	Q9BT09	1.377	0.0177	Up
GSS	P48637	1.375	0.0107	Up
NUDT5	Q9UKK9	1.375	0.0282	Up
SF3A1	Q15459	1.375	0.0189	Up
ERH	P84090	1.372	0.0344	Up
IKBIP	Q70UQ0	1.366	0.0186	Up
RO60	P10155	1.365	0.0257	Up
MANF	P55145	1.359	0.0471	Up
NASP	P49321	1.352	0.0325	Up
NME1	P15531	1.352	0.00756	Up
MAT2B	Q9NZL9	1.351	0.0142	Up
TKT	P29401	1.343	0.0179	Up
